moneda,fecha,PC,score,score_z
usdzar,2025-04-25,PC2,1.6472682641074474,1.0294083791044897
usdzar,2025-04-28,PC2,1.612699998171968,1.0078060309135737
usdzar,2025-04-29,PC2,1.5302947073554451,0.9563094418652596
usdzar,2025-04-30,PC2,1.7301721778952208,1.0812165668618927
usdzar,2025-05-01,PC2,1.3280680060385046,0.8299342391431237
usdzar,2025-05-02,PC2,1.5119746412512827,0.9448608940092178
usdzar,2025-05-05,PC2,1.478904849461155,0.9241949700029396
usdzar,2025-05-06,PC2,1.1416363000663372,0.7134296208971816
usdzar,2025-05-07,PC2,1.0012801011731436,0.6257184384819746
usdzar,2025-05-08,PC2,1.0576764351972854,0.6609615497955308
usdzar,2025-05-09,PC2,1.3144264760493967,0.82140939496287
usdzar,2025-05-12,PC2,1.1615129384982923,0.7258508995656999
usdzar,2025-05-13,PC2,1.139464671616624,0.712072530148124
usdzar,2025-05-14,PC2,0.8610681656281557,0.5380974088989907
usdzar,2025-05-15,PC2,1.0519654819630462,0.6573926695833056
usdzar,2025-05-16,PC2,1.257072990440792,0.7855681419364017
usdzar,2025-05-19,PC2,1.4619302567513923,0.9135872333348726
usdzar,2025-05-20,PC2,1.1423048462076368,0.7138474077353472
usdzar,2025-05-21,PC2,1.3411938650360447,0.8381368309913513
usdzar,2025-05-22,PC2,1.4040110373516106,0.8773924428077616
usdzar,2025-05-23,PC2,1.4801031968902456,0.9249438394563632
usdzar,2025-05-26,PC2,1.4305333419300035,0.8939667210604617
usdzar,2025-05-27,PC2,1.6026341567379638,1.0015157005887096
usdzar,2025-05-28,PC2,1.757987371706556,1.0985987954883383
usdzar,2025-05-29,PC2,1.8277675190079337,1.1422056990463967
usdzar,2025-05-30,PC2,1.5446150259858016,0.9652584736111741
usdzar,2025-06-02,PC2,1.585545003301646,0.9908363728055817
usdzar,2025-06-03,PC2,1.6875981729860534,1.0546112844434403
usdzar,2025-06-04,PC2,1.3795034392827497,0.8620771918838448
usdzar,2025-06-05,PC2,1.4309064234834246,0.8941998666175937
usdzar,2025-06-06,PC2,1.4169582507029626,0.8854833956903857
usdzar,2025-06-09,PC2,1.856255020804936,1.1600080653570706
usdzar,2025-06-10,PC2,1.7822537034610357,1.1137632746338926
usdzar,2025-06-11,PC2,1.9741620884788973,1.2336903708223441
usdzar,2025-06-12,PC2,1.370234064201155,0.8562845881009837
usdzar,2025-06-13,PC2,1.5556125233274836,0.9721310129293773
usdzar,2025-06-16,PC2,1.500860424136926,0.9379154143481352
usdzar,2025-06-17,PC2,1.2185610844854249,0.7615013402201554
usdzar,2025-06-18,PC2,1.3228551646462583,0.8266766382258689
usdzar,2025-06-19,PC2,0.9536998416816339,0.5959846550614186
usdzar,2025-06-20,PC2,1.2982219755158393,0.8112829031267115
usdzar,2025-06-23,PC2,1.5268994558822668,0.9541876864767708
usdzar,2025-06-24,PC2,1.4267515255456376,0.8916033941154056
usdzar,2025-06-25,PC2,1.2087865385862688,0.7553930458580439
usdzar,2025-06-26,PC2,0.7678180987299309,0.4798237188700632
usdzar,2025-06-27,PC2,0.7047716274059199,0.44042481386592086
usdzar,2025-06-30,PC2,0.9666493028103099,0.6040770126216305
usdzar,2025-07-01,PC2,0.8002711393831872,0.5001042236935942
usdzar,2025-07-02,PC2,0.4337911519903183,0.2710841071670736
usdzar,2025-07-03,PC2,0.5753067414970111,0.3595198142017347
usdzar,2025-07-04,PC2,0.7325240696360844,0.4577678278696685
usdzar,2025-07-07,PC2,0.8497718984783553,0.5310381628065468
usdzar,2025-07-08,PC2,1.2276142309436868,0.7671588187404768
usdzar,2025-07-09,PC2,0.816261077236615,0.5100966313459067
usdzar,2025-07-10,PC2,1.0560535945764897,0.659947406702145
usdzar,2025-07-11,PC2,0.9992400910917937,0.6244435984835623
usdzar,2025-07-14,PC2,1.32290975450295,0.8267107524361145
usdzar,2025-07-15,PC2,1.577658529883681,0.9859079698277965
usdzar,2025-07-16,PC2,1.7761305700964907,1.109936815441314
usdzar,2025-07-17,PC2,1.779921772190487,1.1123060076897624
